CParser.HeapRawState                                   1.435    10.798     0.000
CParser.SepFrame                                       1.381     7.881     0.220
CParser.CompoundCTypes                                 1.252     6.898     0.287
CParser.LemmaBucket_C                                  1.194     5.729     0.000
CParser.Separation                                     1.162     4.870     0.000
CParser.SepInv                                         0.985     4.806     0.250
ML_Utils.ML_Utils                                      0.970     3.265     0.000
CParser.PackedTypes                                    0.946     1.961     0.000
CParser.StructSupport                                  0.839     4.966     0.220
CParser.PrettyProgs                                    0.817     2.675     0.000
CParser.Vanilla32                                      0.781     5.948     0.000
CParser.Addr_Type                                      0.759     2.431     0.000
Basics.CLib                                            0.592     1.827     0.000
CParser.ArraysMemInstance                              0.538     2.739     0.000
CParser.TypHeapLib                                     0.461     1.462     0.000
CParser.IndirectCalls                                  0.397     1.729     0.000
CParser.ModifiesProofs                                 0.378     0.779     0.000
CParser.Padding                                        0.357     1.266     0.000
CParser.SepTactic                                      0.341     1.720     0.000
CParser.ArrayAssertion                                 0.316     1.801     0.000
CParser.Vanilla32_Preliminaries                        0.305     2.440     0.000
CParser.MapExtraTrans                                  0.212     0.898     0.000
CParser.CLanguage                                      0.101     0.344     0.000
CParser.Word_Mem_Encoding                              0.055     0.442     0.000
--------------------------------------------------------------------------------
TOTAL                                                 73.640   294.225     7.110

--- UmmTypes  (1 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
UmmTypes.UmmTypesFile                                  3.495     3.449     0.000
--------------------------------------------------------------------------------
TOTAL                                                  3.495     3.449     0.000

--- ASpec  (107 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
ASpec.Structures_A                                    20.541    29.542     1.027
ASpec.Invocations_A                                   16.693    24.726     0.827
ASpec.Arch_Structs_A                                  15.228    19.051     0.523
ExecSpec.ArchInvocationLabels_H                       13.109    46.104     1.084
ASpec.ArchInvocation_A                                11.501    30.770     1.212
ASpec.CSpace_A                                        11.330    15.608     0.590
ExecSpec.MachineTypes                                  9.824    29.080     1.081
Lib.NICTATools                                         7.836    22.779     0.000
ASpec.Syscall_A                                        7.786     8.470     0.538
ExecSpec.InvocationLabels_H                            6.148    41.971     1.787
Monads.WP                                              5.601    14.141     0.000
Monads.Reader_Option_Monad                             5.558    18.782     0.000
Monads.Nondet_Monad                                    5.519    19.211     0.000
ASpec.Deterministic_A                                  5.499    13.394     0.565
ASpec.Ipc_A                                            5.305     6.063     0.708
ASpec.Decode_A                                         4.888     4.924     0.000
ASpec.Tcb_A                                            4.809     5.283     0.000
ASpec.ExceptionTypes_A                                 4.663     7.180     0.635
Lib.Lib                                                4.620    26.522     1.342
ASpec.ArchVSpace_A                                     4.027     6.279     0.604
Monads.Nondet_Lemmas                                   3.841     9.179     0.707
ASpec.IpcCancel_A                                      3.584     8.807     0.647
ASpec.Retype_A                                         3.576     3.853     0.000
ASpec.Interrupt_A                                      3.402     3.488     0.000
ASpec.Schedule_A                                       3.307     3.346     0.000
ASpec.ArchDecode_A                                     3.298     3.886     0.767
ASpec.ArchCSpace_A                                     3.279     4.460     0.000
ASpec.CapRights_A                                      2.977    11.221     0.000
Lib.Value_Abbreviation                                 2.944    10.954     0.377
Eisbach_Tools.Eisbach_Methods                          2.904    11.578     0.377
ASpec.TcbAcc_A                                         2.898     2.948     0.000
Monads.Strengthen                                      2.714    10.606     0.377
ASpec.Arch_A                                           2.669     3.284     0.810
Monads.WPSimp                                          2.612    10.262     0.707
Monads.Nondet_VCG                                      2.609    19.104     0.634
ExecSpec.Arch_Structs_B                                2.601    10.503     0.377
ASpec.Machine_A                                        2.185     5.419     0.000
